español,ayapaneco1,ayapaneco2,raíz,ejemplo
Amatitán,pijtzima,*,pijtchima,*
abajo,kü'm,*,kü'm,*
abuela,oogo,*,'ooko,*
abuelo,aabo,*,'aapo,*
acá,nyi'i,*,nyi',*
achiote,ku'ibyuugi,ku'ibyuuge,kuy-puuke,*
acostado,gwagüna,gwagana,wak-ü-na,*
agrio,katz,*,katzu',*
agua,ndü',*,nü',*
aguacatal,ku'dyimbyee'ge,ku'dyimbyee'ga,ku'utin-pee'ke,*
aguacate,ku'udyi,*,ku'uti,*
aguardiente,ndü'ku,ndü'ko,nü'k-ku,*
ahijada,mbashtükmaada,*,maash-tük-maata,*
ahijado,mbashtükmaadu,*,maash-tük-maatu,*
ala,shaj,*,shaj,*
alacrán,kakgwa'y,kakngwa'y,kakwa'y,*
alegre,sho'oga,*,sho'okaj,*
algodón,puugi,puuge,puuke,*
allá,jeng,*,jem,*
allí,jeng,*,jem,*
almohada,kobogodzüünyü,kogodzüüye,kopuko-tzüünyü,*
alto,yuku cheene,*,yuku y-ten-e,*
amargo,tam,*,tam,*
amarillo,pu'utzi,*,pu'utzi,*
amarrar,tzen,*,tzen,*
amigo,yamiigo,*,yamiigo,*
ancho,peetki,peetke,peetki,*
anciana,tzamgu'yoogo,kü'tzeogo,tzam-kuy-'ooko,*
anciano,tzamgü'ügwi,kü'tzuyatzi,tzam-kü'üwi,*
año,amdi,amde,'amte,*
anona,yaa'dyi,yaa'dye,yaa'tin,*
anzuelo,a'agwi,a'agwe,'a'awe,*
aquí,nyi'i,*,nyi',*
árbol de hule,uulguy,ligyuy,ule-kuy,*
árbol,kuy,*,kuy,*
arder,tzok,tzoog,tzok,*
ardilla,ku'ngi,ku'nge,ku'ngki,*
arena,po'windshash,*,po'wi-nash,*
armadillo,ndütz,*,nütz,*
arroyo,paktu,pakto,pak-tung,*
arroz,aros,*,'aros,*
asiento,kuusho,*,kuusho,*
atole,junuu'ne,*,junun-e,*
atrás,jüxü,*,jüxün,*
ayer,ndü'iga,*,nü'y-ka',*
azul,tzuush,*,tzuush,*
bailar,etz,eedz,'etz,*
bañarse,tzing,*,tzing,*
banco,gwangu,gwango,wang-ku,*
barrer,pet,*,pet,*
bastante,shoksh,*,shoksh,*
batea,ku'ñaa'nga,*,kuy-naa'nga,*
bebé,shyan,*,shyan,*
bejuco,tza',tza'y,tza'y,*
billete,too'do,*,toto',*
blanco,poo'bo,*,popo',*
bonito,shungu,shungo,shun-ku,*
bueno,gwü,gwüü,wüü,*
bule,pok,*,pok,*
caballo,kagwaayo,*,kawayo,*
cabello,gwa'y,*,wa'y,*
cabeza,koobü'k,kook,koopü'k,*
cacao molido,kaagwa kü'tabü'k,*,kaakwa kü't-ta-pü'k,*
cacao tostado,kaagwa she'tabü'k,*,kaakwa xe't-ta-pü'k,*
cacao,kaagwa,*,kaakwa,*
cacaotal,kaktük,*,kaakwa-tük,*
café,kafwel,*,kafwel,*
cal,jam,jaa'm,jam,*
calabaza,baashu,baasho,paashu,*
calentura,jukte,*,jukte,*
calor,piijyi,*,pij-e,*
cama,tze'esh,*,tze'esh,*
camaleón,kopojko,*,kopojko,*
caminar,gwich,*,wit,*
camino,tung,*,tung,*
camote amarillo,pu'tzmbyün,*,pu'utzi-mün,*
camote blanco,popmbün,*,popo'-mün,*
camote morado,moraambün,*,moraatu-mün,*
camote,mbün,*,mün,*
campo santo,ndash tzu'tz,*,nash-tzu'tz,*
campo,pee'ge,bee'ge,pee'ke,*
caña,po'ok,*,po'ok,*
canasta,ko'o,*,ko'on,*
cántaro,gwoogo,*,wooko,*
caracol,shoo'ge,*,shoo'ke,*
carbón,ju'uyi,ju'uye,ju'uyi,*
carne,sis,*,shish,*
carta,too'do,*,toto',*
casa,tük,*,tük,*
cayuco,aa',*,'aa',*
cebollín,sebuyiin,*,sepoyin,*
ceiba,seeybu,seeybo,seeybu,*
ceniza,jo'omi,jo'ome,jo'm-e,*
centro,kuku,kuko,kuk-joj,*
cercano,too'mo,*,too'mo,*
chayote,gwüü'ye,gwüü'yü,wüü'ye,*
chile,ndyiigwi,ndyii,niiwi,*
chiquiguao,siksik,*,shikshik,*
chorote,gwaayo,*,way-o,*
cielo,tzap,*,tzap,*
cinco,mboshna,*,mosh-na,*
cocido,shoshküna,shoshkona,shosh-kü-na,*
cocodrilo,uspi,uspe,'ushpi,*
cocoyol,kuu'ma,*,kuma',*
codo,shudigü',*,shut-e-kü',*
colibrí,tujtzi,tujtze,tujtzi,*
colmena,tzinguguy,*,tzingun-kuy,*
comal,aa'ga,*,'aa'ka,*
cometa,ching mbaa'dza,*,ting-maa'tza,*
comida,chikü'üshtaba,*,chi-kü'üsh-taba,*
cómo,jutz,*,jutz,*
conejo,kuneejo,kuneej,kunejo,*
conocer,jo',jo'o,jo',*
conocimiento,joo'da'aygu,joo'da'aygo,joto'-jay-ku,*
corazón,ayme,*,'ayme,*
costillas,shokpak,*,shoko-pak,*
criatura,uu'ne,*,uu'ne,*
cuánto,jutzna,*,jutz-na,*
cuatro,mbaksna,*,maks-na,*
cucaracha,ko'ogo,*,ko'oko,*
cuchara,kütsi,*,kütz-e,*
culebra,tzaanyo,*,tzaanyo,*
cumpleaños,mbashanüüye,mbashanüüyi,maashan-nüünyü,*
dedo pulgar,gwütkü'ügümbaa,kigimba büjpe,wüt-kü'ü-kü-maa,*
diente,tütz,*,tütz,*
difunto,tzu'tz,*,tzu'utz,*
dinero,tumi,tume,tumin,*
dos,gwüshna,*,wüwh-na,*
dulce,pa'ak,*,pa'ak,*
duro,kama'k,*,kama'k,*
eellas,ñe'ayaj,ñe'aya,ñe'a-yaj,*
el,mbe',je',me',*
él,ñe'a,*,ñe'a,*
ella,ñe'a,*,ñe'a,*
ellos,ñe'ayaj,ñe'aya,ñe'a-yaj,*
elote,mbu'umaj,*,mu'uma-'aj,*
enfermedad,ka'ago,ka'agu,ka'-ku,*
entrada,tü'ügi,tü'üge,tü'k-e,*
escama,pük,*,pük,*
escoba,petku,petko,pet-ku,*
espuma,yuumi,yuume,yum-e,*
esto,nyi',*,ny'i,*
estómago,tzek,*,tzek,*
estrella,mbaa'tza,*,maa'tza,*
falda,te'ksi,*,te'kshi,*
falda,te'ksi,*,te'kshi,*
fiesta,shung,*,shung,*
finado,tzu'utz,*,tzu'tz,*
flor,mbooya,*,mooya,*
fogón,jogong,*,jokong,*
frijol,shük,*,shuk,*
frío,paga'k,*,paka'k,*
fruta,tüm,*,tüm,*
fuego,jukte,*,jukte,*
fumador,jugubü'k,*,juk-u-pü'k,*
fumar,juk,juug,juk,*
gallo,kaasi,*,kaashi,*
ganado,gwaagax,*,waakash,*
gato,miistu,*,miistu,*
gente,kristyaano,*,kristyaano,*
golosina,tziingu,tziingo,tzingun,*
gordo,mbüj,*,müj,*
gracias,dyuus yuja'a,*,*,*
grande,gwüt,*,wüt,*
grande,yümi,yüme,yümi,*
guajolote,nda'ngdu'u,*,na'ng-tu'un,*
guayaba,paa'da,*,paa'tan,*
guineo,inela,*,'inela,*
hamaca,kajtza',*,kajtza',*
hambre,yu',*,yu',*
hermana,yomdüü'da,*,yomo'-tüü'ta,*
hermano,tüü'da,*,tüü'ta,*
herramienta,mbeshku,mbeshko,mesh-ku,*
hija,yomaa,*,yomo'-maan,*
hijas,yomantanda,*,yomo'-maan-ta,*
hijo,jaymbea,*,jaaya-maan,*
hijos,mantanda,*,maan-ta,*
hoja de papel,tot'a'y,*,toto'-'a'y,*
hola,juu'na,*,ju'-na,*
hombre,püü,püüsi,püüshin,*
horcón,kom,*,kom,*
hormiga,jatzuugi,jatzuuge,jatzuuki,*
hueso,pak,*,pak,*
huevo,po'ogwi,*,po'owi,*
idioma,oode,oodi,'ote,*
iglesia,mbashtük,*,maash-tük,*
iguana,paadzya,paadzyu,paatzya,*
jaguacte,gwaa'ba,*,waa'pa,*
jícara,ee'gwüsh,*,'ee'wash,*
la,mbe',je',me',*
lagaña,chingdya chaadzük,*,ting-ta taatzük,*
las,mbe'eda',*,mbe'-ta',*
lejos,ju'm,*,ju'm,*
lengua,totz,*,totz,*
libélula,kasi'iga,*,ka-shi'ika,*
libro,liburu,*,libru,*
libro,too'do,*,toto',*
limón,limuj,limunis,lumuj,*
lluvia,tuj,*,tuj,*
los,mbe'eda',*,mbe'-ta',*
luna,pooya,*,pooya,*
machete,ndakshko,*,naksh-ku,*
macho,jaymbea,*,jaaya-maan,*
madre,aaba,*,'aaba,*
maíz,mbok,*,mok,*
mañana,tzu'ndyi,*,tzu'n-ti,*
mano,kü',ki',kü',*
mapache,tziiku,tziiko,tziku,*
mar,mbej,mbee,meej,*
mariposa,po'mbo'm,pabaalo,po'm-po'm,*
mecate,tza',tza'y,tza'y,*
melón,meluunes,meluunis,meluunes,*
meñique,kü'ügümbaa lisü'k,kigimbaa lisü'k,kü'ü-Kü-maa-lish-ü'k,*
mes,pooya,*,pooya,*
mesa,meesha,*,meesha,*
miel,tzingunü',*,tzingu-nü',*
milpa,kaa'ma,*,kama',*
mitad,kuku,kuko,kuk-joj,*
moneda,tume,tumi,tumin,*
mono,uudzu,*,'uutzu,*
montaña,gwütjümni,*,wüt-jümni,*
monte,jümni,jümne,jümni,*
morado,moraa,*,moraa,*
mujer soltera,gwoñoo'mo,*,won-yomo',*
mujer,yoo'mo,*,yomo',*
mundo,ndashgwingbak,*,nash-win-pak,*
murcielago,tüüsi,*,tüüshi,*
naranja,alaasha,*,alaasha,*
nariz,kiingo,*,kiingo,*
negro,yük,*,yük,*
nietos,yoogoj,ñoogoj,ookoj-ta,*
noche,tzu',*,tzu',*
nombre,ndüüye,ndüüyü,nüüye,*
nombre,ndüüyi,ndüüye,nüünyü,*
noroeste,ndashjo mbüüñe,*,nash-joj müüñe,*
nosotros,te'ücha,ücha,te-ücha,*
nube,u'ksi,*,'u'ksi,*
nuevo,jom,*,jom,*
olla,shu'u,*,shu'un,*
oreja,taadzük,*,taatzük,*
orilla,naaga,*,naaka,*
oscuro,jumguna,*,jum-kü-na,*
padre,jaado,*,jaatu,*
pájaro,jon,*,jon,*
palabra,oodi,oode,'oode,*
